@relation Records-weka.filters.unsupervised.attribute.StringToNominal-R1-1

@attribute TypeOfBet {'MATCH ODDS','OVER / UNDER','ASIAN HANDICAP'}
@attribute Odds numeric
@attribute Liquidity numeric

@data
'OVER / UNDER',1.83,1755.130716
'OVER / UNDER',1.79,1783.009324
'ASIAN HANDICAP',1.95,2002.710353
'OVER / UNDER',1.95,1772.067482
'MATCH ODDS',1.63,1756.532038
'ASIAN HANDICAP',1.82,1968.070902
'ASIAN HANDICAP',1.89,431.624188
'MATCH ODDS',1.7,1766.022708
'MATCH ODDS',1.67,1763.553077
'OVER / UNDER',1.83,1771.869012
'MATCH ODDS',1.76,1770.643224
'MATCH ODDS',1.75,210.02033
'MATCH ODDS',1.83,210.02033
'ASIAN HANDICAP',1.77,1479.961318
'MATCH ODDS',2,1769.94531
'OVER / UNDER',1.82,1771.869012
'MATCH ODDS',1.67,210.02033
'MATCH ODDS',1.74,1770.712201
'OVER / UNDER',2.07,1632.933201
'ASIAN HANDICAP',1.87,2062.618548
'ASIAN HANDICAP',2.05,1944.828703
'ASIAN HANDICAP',1.76,1988.924781
'MATCH ODDS',1.97,1774.809767
'ASIAN HANDICAP',1.76,1986.918084
'OVER / UNDER',1.74,1769.047981
'MATCH ODDS',1.75,1770.643224
'ASIAN HANDICAP',1.93,1961.178786
'OVER / UNDER',1.76,1768.925555
'MATCH ODDS',1.69,1763.368875
'ASIAN HANDICAP',1.89,2043.306867
'MATCH ODDS',1.72,1765.535225
'ASIAN HANDICAP',1.78,210.02033
'OVER / UNDER',1.71,1767.114688
'ASIAN HANDICAP',1.98,1999.501648
'MATCH ODDS',1.76,1770.643224
'ASIAN HANDICAP',1.73,2050.77265
'OVER / UNDER',2.05,1779.817416
'ASIAN HANDICAP',2.05,1997.773565
'ASIAN HANDICAP',2.01,1984.044452
'ASIAN HANDICAP',1.78,2016.54531
'ASIAN HANDICAP',1.86,1078.962588
'ASIAN HANDICAP',1.77,1997.880302
'MATCH ODDS',1.73,1765.4908
'MATCH ODDS',1.73,1765.4908
'ASIAN HANDICAP',1.88,207.67219
'ASIAN HANDICAP',1.77,1997.880302
'ASIAN HANDICAP',1.76,1973.996474
'MATCH ODDS',2,1769.94531
'MATCH ODDS',1.84,1770.624596
'MATCH ODDS',1.75,1770.643224
'MATCH ODDS',1.83,1770.783127
'MATCH ODDS',1.8,1770.787666
'MATCH ODDS',1.85,414.16655
'OVER / UNDER',1.84,1794.006725
'ASIAN HANDICAP',1.76,1973.996474
