@relation Records-weka.filters.unsupervised.attribute.StringToNominal-R1-1

@attribute TypeOfBet {'ASIAN HANDICAP','MATCH ODDS','OVER UNDER'}
@attribute Odds numeric
@attribute Liquidity numeric

@data
'OVER UNDER',1.98,1575.985826
'OVER UNDER',1.81,1600.923871
'OVER UNDER',1.71,1744.446526
'MATCH ODDS',2.11,1737.680513
'ASIAN HANDICAP',1.82,2062.582957
'ASIAN HANDICAP',2.32,1262.338134
'ASIAN HANDICAP',1.96,527.847915
'OVER UNDER',1.88,1591.457583
'MATCH ODDS',2.55,1718.981188
'ASIAN HANDICAP',1.88,1639.399908
'MATCH ODDS',2.15,1766.00466
'OVER UNDER',2.58,1528.387801
'MATCH ODDS',1.8,1770.787666
'ASIAN HANDICAP',1.81,1275.461008
'OVER UNDER',2.1,1406.110013
'MATCH ODDS',2.1,1770.462993
'ASIAN HANDICAP',1.77,1030.065161
'ASIAN HANDICAP',2.1,1268.097858
'ASIAN HANDICAP',1.9,1351.174814
'ASIAN HANDICAP',1.73,1966.947957
'MATCH ODDS',2.56,1421.77662
'ASIAN HANDICAP',1.91,1197.361846
'ASIAN HANDICAP',1.82,1436.974266
'ASIAN HANDICAP',1.83,1085.889728
'ASIAN HANDICAP',1.95,1089.794216
'MATCH ODDS',1.95,960.933726
'MATCH ODDS',2.4,947.841383
'OVER UNDER',2.08,1697.507717
'ASIAN HANDICAP',1.8,1132.839271
'MATCH ODDS',2.8,1708.195558
'OVER UNDER',1.92,1590.146174
'ASIAN HANDICAP',1.79,1934.220773
'ASIAN HANDICAP',2.34,1392.716407
'OVER UNDER',7.66,1633.614182
'ASIAN HANDICAP',2.14,2071.047923
'ASIAN HANDICAP',2.51,1883.554602
'ASIAN HANDICAP',1.8,1967.819209
'OVER UNDER',2.58,1729.896511
'ASIAN HANDICAP',1.89,1992.00234
'ASIAN HANDICAP',2.29,2049.605809
'OVER UNDER',3.22,1725.751331
'ASIAN HANDICAP',1.83,1992.595293
'ASIAN HANDICAP',3.56,1839.625007
'ASIAN HANDICAP',1.79,1947.327768
'ASIAN HANDICAP',2.26,1891.698575
'OVER UNDER',1.86,1567.947637
'ASIAN HANDICAP',1.71,1857.191894
'OVER UNDER',1.71,1735.907333
'ASIAN HANDICAP',1.72,1608.874278
'OVER UNDER',1.98,1618.104138
'ASIAN HANDICAP',2.2,1894.031172
'ASIAN HANDICAP',2.06,1975.501123
'ASIAN HANDICAP',1.85,992.555916
'ASIAN HANDICAP',1.72,1927.592493
'OVER UNDER',2.01,1586.430823
'ASIAN HANDICAP',1.86,1029.87204
'ASIAN HANDICAP',1.95,1876.763026
'ASIAN HANDICAP',1.9,1383.1959
'ASIAN HANDICAP',1.89,2043.306867
'ASIAN HANDICAP',1.68,2068.347946
'MATCH ODDS',1.6,1004.33862
'OVER UNDER',1.71,1803.761855
'ASIAN HANDICAP',2.15,1187.037274
'ASIAN HANDICAP',1.91,1647.267313
'ASIAN HANDICAP',1.68,1921.497157
'ASIAN HANDICAP',1.77,1063.986429
'ASIAN HANDICAP',1.85,1103.918186
'OVER UNDER',1.89,1610.687347
'OVER UNDER',1.84,1567.884705
'OVER UNDER',2.03,780.128249
'ASIAN HANDICAP',1.76,1936.580709
'OVER UNDER',1.69,1790.169748
'ASIAN HANDICAP',1.92,1170.183585
'MATCH ODDS',2.2,949.406449
'MATCH ODDS',2.7,943.194526
'MATCH ODDS',2.6,873.315207
'ASIAN HANDICAP',2.13,1378.758348
'OVER UNDER',2.33,1536.489391
'OVER UNDER',2.17,1582.404837
'MATCH ODDS',2.4,663.722855
'ASIAN HANDICAP',1.7,1924.357986
'ASIAN HANDICAP',2.34,1007.658351
'ASIAN HANDICAP',2.04,1038.309835
'ASIAN HANDICAP',2.35,1916.726897
